Competition: Euro Championship, Country: World
Competition: III Liga - Group 4, Country: Poland
Competition: Liga III - Serie 1, Country: Romania
Competition: Liga III - Serie 2, Country: Romania
Competition: Liga III - Serie 3, Country: Romania
Competition: Liga III - Serie 4, Country: Romania
Competition: Liga III - Serie 5, Country: Romania
Competition: Liga III - Serie 6, Country: Romania
Competition: Liga III - Serie 7, Country: Romania
Competition: Liga III - Serie 8, Country: Romania
Competition: Liga III - Serie 9, Country: Romania
Competition: Liga III - Serie 10, Country: Romania
Competition: 3. SNL - East, Country: Slovenia
Competition: 3. SNL - West, Country: Slovenia
Competition: 2. Liga Interregional - Group 1, Country: Switzerland
Competition: 2. Liga Interregional - Group 2, Country: Switzerland
Competition: 2. Liga Interregional - Group 3, Country: Switzerland
Competition: 2. Liga Interregional - Group 4, Country: Switzerland
Competition: 2. Liga Interregional - Group 5, Country: Switzerland
Competition: 2. Liga Interregional - Group 6, Country: Switzerland
Competition: Cup, Country: Uzbekistan
Competition: Super Cup, Country: Andorra
Competition: Super Copa, Country: Argentina
Competition: Federation Cup, Country: Bangladesh
Competition: Elite Two, Country: Cameroon
Competition: Shield Cup, Country: Jordan
Competition: Super Cup Primavera, Country: Italy
Competition: Super Cup, Country: Kosovo
Competition: Crown Prince Cup, Country: Kuwait
Competition: FA Trophy, Country: Malta
Competition: Cup, Country: Morocco
Competition: Ligue 2, Country: Tunisia
Competition: Youth League, Country: Turkmenistan
Competition: Super Cup, Country: Uzbekistan
Competition: Coupe de la Ligue, Country: Algeria
Competition: Rock Cup, Country: Gibraltar
Competition: Super Cup, Country: Jordan
Competition: Taça Revelação U23, Country: Portugal
Competition: QFA Cup, Country: Qatar
Competition: Copa Verde, Country: Brazil
Competition: Ligue 1, Country: Congo
Competition: GFA League, Country: Gambia
Competition: Premier League, Country: Eswatini
Competition: Baltic Cup, Country: World
Competition: Paulista - A1, Country: Brazil
Competition: Paulista - A2, Country: Brazil
Competition: Gaúcho - 1, Country: Brazil
Competition: Gaúcho - 2, Country: Brazil
Competition: Canadian Premier League, Country: Canada
Competition: Copa de la Superliga, Country: Argentina
Competition: FA Cup, Country: Malaysia
Competition: AFC U23 Asian Cup, Country: World
Competition: CONCACAF Nations League, Country: World
Competition: Africa Cup of Nations U20, Country: World
Competition: CONMEBOL Libertadores U20, Country: World
Competition: CONMEBOL Recopa, Country: World
Competition: Iraqi League, Country: Iraq
Competition: Cup, Country: Jordan
Competition: Olympics Men - Qualification Concacaf, Country: World
Competition: Olympics Women - Qualification Asia, Country: World
Competition: Campeones Cup, Country: World
Competition: Super Cup, Country: Japan
Competition: Damallsvenskan, Country: Sweden
Competition: Supercopa, Country: Peru
Competition: Reserve League, Country: Belarus
Competition: Liga Primera U20, Country: Nicaragua
Competition: 3. liga - Bratislava, Country: Slovakia
Competition: 3. liga - West, Country: Slovakia
Competition: 3. liga - East, Country: Slovakia
Competition: 3. liga - Center, Country: Slovakia
Competition: Lao League, Country: Laos
Competition: Tasmania NPL, Country: Australia
Competition: Supreme Division Women, Country: Russia
Competition: Second League - Group 3, Country: Russia
Competition: Second League - Group 1, Country: Russia
Competition: Second League - Group 2, Country: Russia
Competition: Second League - Group 4, Country: Russia
Competition: Super Cup, Country: Armenia
Competition: Super Cup, Country: Bulgaria
Competition: Cup, Country: Estonia
Competition: Cup, Country: Latvia
Competition: Super Cup, Country: Israel
Competition: WK-League, Country: South-Korea
Competition: Cup, Country: Lithuania
Competition: Copa por México, Country: Mexico
Competition: Super Cup, Country: Russia
Competition: Friendlies Women, Country: World
Competition: Friendlies Clubs, Country: World
Competition: 1. Liga U19, Country: Czech-Republic
Competition: 1. Liga Women, Country: Czech-Republic
Competition: Community Shield Women, Country: England
Competition: Úrvalsdeild Women, Country: Iceland
Competition: David Kipiani Cup, Country: Georgia
Competition: Liga MX Femenil, Country: Mexico
Competition: Cupa, Country: Moldova
Competition: U21 Divisie 1, Country: Netherlands
Competition: Central Youth League, Country: Poland
Competition: Super Cup, Country: Ukraine
Competition: U21 League, Country: Ukraine
Competition: Cup, Country: Slovakia
Competition: Campeonato de Portugal Prio - Group E, Country: Portugal
Competition: Campeonato de Portugal Prio - Group F, Country: Portugal
Competition: Campeonato de Portugal Prio - Group G, Country: Portugal
Competition: Campeonato de Portugal Prio - Group H, Country: Portugal
Competition: 3. liga - CFL B, Country: Czech-Republic
Competition: 4. liga - Divizie F, Country: Czech-Republic
Competition: Regionalliga - Tirol, Country: Austria
Competition: Regionalliga - Salzburg, Country: Austria
Competition: Third Amateur Division - ACFF A, Country: Belgium
Competition: Third Amateur Division - ACFF B, Country: Belgium
Competition: Provincial - Brabant ACFF, Country: Belgium
Competition: Primera División RFEF - Group 5, Country: Spain
Competition: Gamma Ethniki - Group 9, Country: Greece
Competition: Gamma Ethniki - Group 10, Country: Greece
Competition: U18 Premier League - North, Country: England
Competition: U18 Premier League - South, Country: England
Competition: WSL Cup, Country: England
Competition: Women's Championship, Country: England
Competition: Kakkosen Cup, Country: Finland
Competition: Liga Revelação U23, Country: Portugal
Competition: Premier League 2 Division One, Country: England
Competition: Professional Development League, Country: England
Competition: Coppa Italia Primavera, Country: Italy
Competition: Campionato Primavera - 1, Country: Italy
Competition: Campionato Primavera - 2, Country: Italy
Competition: Cup, Country: Albania
Competition: Super Cup, Country: Albania
Competition: Cup, Country: Armenia
Competition: Nacional B, Country: Bolivia
Competition: Segunda División, Country: Chile
Competition: Liga Femenina, Country: Colombia
Competition: Superliga, Country: Colombia
Competition: DFB Junioren Pokal, Country: Germany
Competition: I-League - 2nd Division, Country: India
Competition: Super Cup, Country: Kuwait
Competition: Emir Cup, Country: Kuwait
Competition: Cup, Country: Luxembourg
Competition: Liga Premier Serie A, Country: Mexico
Competition: Cup, Country: Montenegro
Competition: U18 Divisie 1, Country: Netherlands
Competition: Sultan Cup, Country: Oman
Competition: Super Cup, Country: Poland
Competition: Liga 1 Feminin, Country: Romania
Competition: Toppserien, Country: Norway
Competition: Elitettan, Country: Sweden
Competition: UEFA Championship - Women, Country: World
Competition: Super Cup, Country: Belarus
Competition: Reykjavik Cup, Country: Iceland
Competition: Fotbolti.net Cup A, Country: Iceland
Competition: Super Cup, Country: Kazakhstan
Competition: Nasjonal U19 Champions League, Country: Norway
Competition: Emir Cup, Country: Qatar
Competition: Qatar Cup, Country: Qatar
Competition: Super Cup, Country: Saudi-Arabia
Competition: Super Cup, Country: Vietnam
Competition: Queensland Premier League, Country: Australia
Competition: South Australia State League 1, Country: Australia
Competition: New South Wales NPL 2, Country: Australia
Competition: Victoria NPL 2, Country: Australia
Competition: Super Cup, Country: Lithuania
Competition: Super Copa, Country: Uruguay
Competition: Somali Premier League, Country: Somalia
Competition: UEFA Europa Conference League, Country: World
Competition: Carioca A2, Country: Brazil
Competition: Super Cup, Country: Cyprus
Competition: Supercopa de Ecuador, Country: Ecuador
Competition: WE League, Country: Japan
Competition: Dhivehi Premier League, Country: Maldives
Competition: CONCACAF Caribbean Club Championship, Country: World
Competition: Campeón de Campeones, Country: Mexico
Competition: CONCACAF Gold Cup - Qualification, Country: World
Competition: COSAFA Cup, Country: World
Competition: Arab Cup, Country: World
Competition: Youth Viareggio Cup, Country: World
Competition: U20 League, Country: Mexico
Competition: 3. Division, Country: Denmark
Competition: Supercopa, Country: Costa-Rica
Competition: Liga 3, Country: Portugal
Competition: MLS All-Star, Country: USA
Competition: Coppa Italia Serie C, Country: Italy
Competition: Premier League, Country: Pakistan
Competition: CECAFA Club Cup, Country: World
Competition: Premier League, Country: Crimea
Competition: Premier League Cup, Country: England
Competition: Liga Premier Serie B, Country: Mexico
Competition: Thai Champions Cup, Country: Thailand
Competition: Australia Cup, Country: Australia
Competition: Segunda División RFEF - Group 1, Country: Spain
Competition: Segunda División RFEF - Group 2, Country: Spain
Competition: Segunda División RFEF - Group 3, Country: Spain
Competition: Segunda División RFEF - Group 4, Country: Spain
Competition: Segunda División RFEF - Group 5, Country: Spain
Competition: World Cup - Women - Qualification Europe, Country: World
Competition: Reserve League, Country: Netherlands
Competition: Super Cup, Country: San-Marino
Competition: Second League, Country: Egypt
Competition: Second League - Group B, Country: Egypt
Competition: Second League - Group C, Country: Egypt
Competition: U20 Elite League, Country: World
Competition: Coppa Italia Serie D, Country: Italy
Competition: Copa Paulino Alcantara, Country: Philippines
Competition: League Cup, Country: Egypt
Competition: Super Cup, Country: United-Arab-Emirates
Competition: League Cup, Country: Thailand
Competition: Algarve Cup, Country: World
Competition: The Atlantic Cup, Country: World
Competition: Super Cup, Country: Iran
Competition: Africa Cup of Nations - Qualification, Country: World
Competition: Super Cup, Country: Oman
Competition: International Champions Cup - Women, Country: World
Competition: Second NL, Country: Croatia
Competition: DFB Pokal - Women, Country: Germany
Competition: 1a Divisão - Women, Country: Portugal
Competition: CONMEBOL Libertadores Femenina, Country: World
Competition: World Cup - U17 - Women, Country: World
Competition: South American Youth Games, Country: World
Competition: AFC U23 Asian Cup - Qualification, Country: World
Competition: Africa U23 Cup of Nations - Qualification, Country: World
Competition: National League - Central, Country: New-Zealand
Competition: National League - National, Country: New-Zealand
Competition: National League - Northern, Country: New-Zealand
Competition: National League - Southern, Country: New-Zealand
Competition: Copa Costa Rica, Country: Costa-Rica
Competition: Cup, Country: Singapore
Competition: Supercopa, Country: Paraguay
Competition: Premier League, Country: Lesotho
Competition: Cup, Country: Ghana
Competition: Cup, Country: Lebanon
Competition: Championnat D1, Country: Gabon
Competition: Shield Cup, Country: Kenya
Competition: Serie C - Relegation - Play-offs, Country: Italy
Competition: Serie C - Promotion - Play-offs, Country: Italy
Competition: Serie C - Supercoppa Lega Finals, Country: Italy
Competition: Tercera División RFEF - Promotion - Play-offs, Country: Spain
Competition: 2nd Division - Play-offs, Country: Albania
Competition: Provincial - Play-offs VV, Country: Belgium
Competition: Provincial - Play-offs ACFF, Country: Belgium
Competition: Third Amateur Division - Play-offs, Country: Belgium
Competition: Denmark Series - Promotion Round, Country: Denmark
Competition: Denmark Series - Relegation Round, Country: Denmark
Competition: National League - North - Play-offs, Country: England
Competition: National League - South - Play-offs, Country: England
Competition: Non League Div One - Play-offs, Country: England
Competition: U18 Premier League - Championship, Country: England
Competition: Oberliga - Promotion Round, Country: Germany
Competition: Oberliga - Relegation Round, Country: Germany
Competition: Gamma Ethniki - Promotion Group, Country: Greece
Competition: Campeonato de Portugal Prio - Promotion Round, Country: Portugal
Competition: Football League - Championship, Country: Scotland
Competition: Non League Premier - Isthmian - Play-offs, Country: England
Competition: Non League Premier - Northern - Play-offs, Country: England
Competition: Non League Premier - Southern South - Play-offs, Country: England
Competition: Non League Premier - Southern Central - Play-offs, Country: England
Competition: Serie D - Promotion - Play-offs, Country: Italy
Competition: Serie D - Relegation - Play-offs, Country: Italy
Competition: Serie D - Championship Round, Country: Italy
Competition: Segunda División RFEF - Play-offs, Country: Spain
Competition: Regionalliga - Promotion Play-offs, Country: Germany
Competition: Regionalliga - Relegation Round, Country: Germany
Competition: Derde Divisie - Relegation Round, Country: Netherlands
Competition: 1. Liga Classic - Play-offs, Country: Switzerland
Competition: Primera División RFEF - Play Offs, Country: Spain
Competition: 3. Lig - Play-offs, Country: Turkey
Competition: UEFA U17 Championship - Qualification, Country: World
Competition: UEFA U19 Championship - Qualification, Country: World
Competition: Asian Cup Women - Qualification, Country: World
Competition: Asian Cup Women, Country: World
Competition: League Cup, Country: Finland
Competition: Tipsport Malta Cup, Country: World
Competition: Ykköscup, Country: Finland
Competition: SheBelieves Cup, Country: World
Competition: Reserve League, Country: Argentina
Competition: Primera Division, Country: Cuba
Competition: AFF U23 Championship, Country: World
Competition: Liga III - Play-offs, Country: Romania
Competition: 3. liga - Promotion Play-off, Country: Czech-Republic
Competition: Second Amateur Division - Play-offs , Country: Belgium
Competition: Second League - Play-offs, Country: Egypt
Competition: CAC Games, Country: World
Competition: MLS Next Pro, Country: USA
Competition: Southeast Asian Games, Country: World
Competition: CONCACAF Women U17, Country: World
Competition: CONMEBOL - UEFA Finalissima, Country: World
Competition: Tournoi Maurice Revello, Country: World
Competition: 1. Division Women, Country: Norway
Competition: Kirin Cup, Country: World
Competition: Copa Ecuador, Country: Ecuador
Competition: UEFA U19 Championship - Women, Country: World
Competition: Mediterranean Games, Country: World
Competition: World Cup - U20 - Women, Country: World
Competition: UEFA U17 Championship, Country: World
Competition: Africa Cup of Nations - Women, Country: World
Competition: League 1 Ontario, Country: Canada
Competition: Piala Presiden, Country: Indonesia
Competition: Copa America Femenina, Country: World
Competition: World Cup - Women - Qualification Concacaf, Country: World
Competition: AFF U19 Championship, Country: World
Competition: League Two, Country: China
Competition: Copa Uruguay, Country: Uruguay
Competition: Non League Premier - Southern Central, Country: England
Competition: Non League Div One - Northern East, Country: England
Competition: Non League Div One - Southern Central, Country: England
Competition: Arab Championship - U20, Country: World
Competition: Diski Shield, Country: South-Africa
Competition: Catarinense - 2, Country: Brazil
Competition: Emirates Cup, Country: World
Competition: Oberliga - Bayern Nord, Country: Germany
Competition: Oberliga - Bayern Süd, Country: Germany
Competition: COTIF Tournament, Country: World
Competition: Islamic Solidarity Games, Country: World
Competition: Premier League International Cup, Country: World
Competition: UEFA Nations League - Women, Country: World
Competition: Júniores U19, Country: Portugal
Competition: Super Cup, Country: Gibraltar
Competition: African Football League, Country: World
Competition: Erste Liga Cup, Country: Switzerland
Competition: Pan American Games, Country: World
Competition: Premier Division, Country: Antigua-And-Barbuda
Competition: King's Cup, Country: Bahrain
Competition: Super Cup, Country: Malta
Competition: Kakkonen - Play-offs, Country: Finland
Competition: Division 2 - Play-offs, Country: Sweden
Competition: 2. Division - Play-offs, Country: Norway
Competition: Ettan - Relegation Round, Country: Sweden
Competition: National League - Championship - Final, Country: New-Zealand
Competition: Supercopa Femenina, Country: Spain
Competition: Second League A - Spring Season Gold, Country: Russia
Competition: Second League A - Spring Season Silver, Country: Russia
Competition: U19 League, Country: Ukraine
Competition: FA Youth Cup, Country: England
Competition: All Africa Games, Country: World
Competition: SWPL Cup, Country: Scotland
Competition: SWF Scottish Cup, Country: Scotland
Competition: Yemeni League, Country: Yemen
Competition: Premier Division, Country: Grenada
Competition: Championnat National, Country: Togo
Competition: Gamma Ethniki - Relegation Play-offs, Country: Greece
Competition: Super Cup, Country: Bahrain
Competition: NB III - Promotion Play-offs, Country: Hungary
Competition: Second League A - Promotion Play-offs, Country: Russia
Competition: Euro Championship - Qualification, Country: World
Competition: CONCACAF U17, Country: World
Competition: Copa de la División Profesional, Country: Bolivia
Competition: AFC U20 Asian Cup, Country: World
Competition: Primeira Divisão, Country: Macao
Competition: CONMEBOL - U17, Country: World
Competition: Super Cup, Country: China
Competition: CAF Cup of Nations - U17, Country: World
Competition: CAFA Nations Cup, Country: World
Competition: AFC U17 Asian Cup, Country: World
Competition: All-Island Cup - Women, Country: World
Competition: CAF U23 Cup of Nations, Country: World
Competition: U23 League, Country: Mexico
Competition: Federation Cup, Country: Lebanon
Competition: Charity Shield, Country: Northern-Ireland
Competition: Calcutta Premier Division, Country: India
Competition: Super Cup, Country: Croatia
Competition: Premier League - Summer Series, Country: England
Competition: NB III - Southeast, Country: Hungary
Competition: UEFA - CONMEBOL - Club Challenge, Country: World
Competition: Second League A - Fall Season Gold, Country: Russia
Competition: Second League A - Fall Season Silver, Country: Russia
Competition: 3. Lig - Group 4, Country: Turkey
Competition: Concacaf Central American Cup, Country: World
Competition: National 3 - Group G, Country: France
Competition: Goiano - 2, Country: Brazil
Competition: Premier League, Country: Bhutan
Competition: Copa de la Liga Profesional, Country: Argentina
Competition: Ekstraliga Women, Country: Poland
Competition: 2. Frauen Bundesliga, Country: Germany
Competition: Copa Rio, Country: Brazil
Competition: Copa Santa Catarina, Country: Brazil
Competition: Paraibano 2, Country: Brazil
Competition: King's Cup, Country: World
Competition: UEFA U21 Championship - Qualification, Country: World
Competition: National League Cup, Country: England
Competition: Paraense U20, Country: Brazil
Competition: Copa Gaúcha, Country: Brazil
Competition: CECAFA U20 Championship, Country: World
Competition: Sapling Cup, Country: Hong-Kong
Competition: AFC U17 Asian Cup - Qualification, Country: World
Competition: AGCFF Gulf Champions League, Country: World
Competition: African Nations Championship - Qualification, Country: World
Competition: U19 Divisie 1, Country: Netherlands
Competition: Potiguar - 2, Country: Brazil
Competition: Gaúcho - 3, Country: Brazil
Competition: Pernambucano - 3, Country: Brazil
Competition: AFC U20 Asian Cup - Qualification, Country: World
Competition: Catarinense - 3, Country: Brazil
Competition: Carioca B2, Country: Brazil
Competition: CONCACAF Women U20, Country: World
Competition: CONCACAF Gold Cup - Qualification - Women, Country: World
Competition: Olympics Women - Qualification CAF, Country: World
Competition: HKPL Cup, Country: Hong-Kong
Competition: CONCACAF Gold Cup - Women, Country: World
Competition: Recopa Catarinense, Country: Brazil
Competition: CONMEBOL - Pre-Olympic Tournament, Country: World
Competition: Paulista - A4, Country: Brazil
Competition: Copa Alagoas, Country: Brazil
Competition: CONCACAF U20 - Qualification, Country: World
Competition: Torneo Promocional Amateur, Country: Argentina
Competition: Goiano U20, Country: Brazil
Competition: AFC U20 Asian Cup - Women, Country: World
Competition: Paranaense U20, Country: Brazil
Competition: Baiano U20, Country: Brazil
Competition: Pro League A, Country: Uzbekistan
Competition: Catarinense U20, Country: Brazil
Competition: WAFF Championship U23, Country: World
Competition: CONMEBOL - U17 Femenino, Country: World
Competition: Copa Rio U20, Country: Brazil
Competition: CONMEBOL U20 Femenino, Country: World
Competition: Paulista - U20, Country: Brazil
Competition: Ykkösliiga, Country: Finland
Competition: Pernambucano - U20, Country: Brazil
Competition: UAE-Qatar - Super Shield, Country: World
Competition: NNSW League 1, Country: Australia
Competition: Tasmania Northern Championship, Country: Australia
Competition: Capital Territory NPL 2, Country: Australia
Competition: Tasmania Southern Championship, Country: Australia
Competition: Western Australia State League 1, Country: Australia
Competition: USL League One Cup, Country: USA
Competition: Matogrossense 2, Country: Brazil
Competition: Copa Espírito Santo, Country: Brazil
Competition: Paulista Série B, Country: Brazil
Competition: Brasiliense U20, Country: Brazil
Competition: AFC U17 Asian Cup - Women, Country: World
Competition: UEFA U17 Championship - Women, Country: World
Competition: Premiership Women, Country: Northern-Ireland
Competition: Liga 3, Country: Georgia
Competition: Olympics - Intercontinental Play-offs, Country: World
Competition: Carioca C, Country: Brazil
Competition: Mineiro U20, Country: Brazil
Competition: Sergipano U20, Country: Brazil
Competition: Alagoano U20, Country: Brazil
Competition: Cearense U20, Country: Brazil
Competition: Copa Venezuela, Country: Venezuela
Competition: Carioca U20, Country: Brazil
Competition: Paraense B2, Country: Brazil
Competition: WPSL, Country: USA
Competition: USL W League, Country: USA
Competition: NPSL, Country: USA
Competition: NWSL - Liga MXF Summer Cup, Country: USA
Competition: Paraibano U20, Country: Brazil
Competition: OFC U19 Championship, Country: World
Competition: Qatar-UAE Super Cup, Country: World
Competition: Cearense - 3, Country: Brazil
Competition: Pernambucano - 2, Country: Brazil
Competition: Esiliiga B, Country: Estonia
Competition: Chatham Cup, Country: New-Zealand
Competition: Brasileiro U17, Country: Brazil
Competition: ASEAN Club Championship, Country: World
Competition: USL Super League, Country: USA
Competition: Super Cup, Country: Mongolia
Competition: AFC Challenge League, Country: World
Competition: Goiano - 3, Country: Brazil
Competition: Amazonense - 2, Country: Brazil
Competition: Sergipano - 2, Country: Brazil
Competition: CONCACAF W Champions Cup, Country: World
Competition: Supercup der Frauen, Country: Germany
Competition: Paranaense - 3, Country: Brazil
Competition: Potiguar - U20, Country: Brazil
Competition: AFC Women's Champions League, Country: World
Competition: Brasiliense B, Country: Brazil
Competition: Mineiro - 3, Country: Brazil
Competition: Estadual Junior U20, Country: Brazil
Competition: Super Cup, Country: Ghana
Competition: Paraense B1, Country: Brazil
Competition: Alagoano - 2, Country: Brazil
Competition: Maranhense - 2, Country: Brazil
Competition: UEFA Championship - Women - Qualification, Country: World
Competition: Capixaba B, Country: Brazil
